Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",0,Touchstone Books,Paperback,191,1996,1952,,2012/02/06,to-read,to-read (#75),to-read,,,,1,0
542355,Possessing the Gates of the Enemy: An Intercessionary Prayer Manual,Cindy Jacobs,"Jacobs, Cindy",,"=""0551026529""","=""9780551026520""",0,Zondervan,Paperback,256,1993,1991,,2024/12/26,to-read,to-read (#74),to-read,,,,1,0
8137350,His Last Bow,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",4,Public Domain Books,Kindle Edition,20,2009,1917,2002/11/01,2011/07/12,,,read,**This book is not the same edition that I read.,,,1,0
61668207,"The Last Dragon King (Kings of Avalier, #1)",Leia Stone,"Stone, Leia",,"=""""","=""""",4,,Kindle Edition,358,2022,2022,2025/01/01,2024/12/26,,,read,"I really enjoyed this book up to about 85% and then the drama introduced got to be very stressful for me. It was of a nature I did not enjoy. However, I have to say in redemption of the book, it does have a happy ending, so I can forgive it's complications. It does have some sex scenes which I glossed over. I don't enjoy reading erotica, so be aware, if you're like me. Overall though, great read. I'd tentatively recommend it, provided you can stomach some relationship stress. I am a very sensitive person, I suppose.",,,1,0
60717747,"Half a Soul (Regency Faerie Tales, #1)",Olivia Atwater,"Atwater, Olivia",,"=""""","=""9780316462808""",5,Orbit,Kindle Edition,305,2022,2020,2023/10/15,2025/01/01,,,read,"This book was a delightful cute romance in a regency setting. No erotica, just amazingly cute romance. And the romance felt full and meaningful because it wasn't the book's only plot. There are other plots as well woven throughout that bolster and add strength to the romance plot. I highly enjoyed it. Wonderful read.",,,1,0
49824268,"Waiting on God: Spending Time in His Presence in Silence, Stillness & Expectation",Michael Van Vlymen,"Vlymen, Michael Van",,"=""""","=""""",5,Ministry Resources,Kindle Edition,97,2019,,2024/12/27,2024/12/27,,,read,"This book gives practical tips on how to experience the Lord by waiting in His Presence in stillness and holy expectation. Michael's books such as ""How to See in the Spirit"" have led me on a journey of more of God, and I cannot recommend them enough. There are a few typos, but it's easy for me to look past that, considering how much this book feeds the spirit and has helped me.",,,1,0
11954832,A Guide for Listening and Inner-Healing Prayer: Meeting God in the Broken Places,Rusty Rustenbach,"Rustenbach, Rusty",The Navigators,"=""1617470864""","=""9781617470868""",0,NavPress,Paperback,230,2011,2011,,2024/12/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
11944017,"Specter of the Past (Star Wars: The Hand of Thrawn, #1)",Timothy Zahn,"Zahn, Timothy",,"=""0307796159""","=""9780307796158""",5,Spectra,Kindle Edition,420,2011,1997,2007/01/31,2011/07/14,,,read,A book by Zahn... need I say more?  It follows out some of the ripples that Thrawn's life continues to exert... he casts a large shadow.,,,1,0
9712506,"Raiders from the Sea (Viking Quest, #1)",Lois Walfrid Johnson,"Johnson, Lois Walfrid",,"=""1575677326""","=""9781575677323""",4,Moody Publishers,Kindle Edition,212,2003,2003,2004/02/21,2011/07/12,,,read,,,,1,0
8200487,Around the World in Eighty Days,Jules Verne,"Verne, Jules",,"=""""","=""""",3,Public Domain Books,Kindle Edition,150,2006,1872,2004/10/11,2011/07/12,,,read,**This book is not the same edition that I read.,,,1,0
